player_name,player_id,team,position,weighted_score,sim_mean_salary,sim_median_salary,sim_p25_salary,sim_p75_salary,fmv_band
Dylan Harper,1642844,SAS,PG,5.1241,11386210.67,11441211.67,10899947.17,11889154.71,rotation
Trae Young,1629027,WAS,PG,7.676,11310510.96,11329225.91,10881282.88,11777168.95,rotation
Derrick Jones Jr.,1627884,LAC,SF,5.7274,11305260.96,11329225.91,10771963.45,11777168.95,rotation
Kyle Kuzma,1628398,MIL,SF,4.964,11293833.08,11329225.91,10769297.12,11777168.95,rotation
Luguentz Dort,1629652,OKC,PG,4.7747,11220077.13,11217240.16,10769297.12,11777168.95,rotation
Caris LeVert,1627747,DET,PG,5.3871,11201402.17,11217240.16,10769297.12,11665183.19,rotation
Anfernee Simons,1629014,CHI,PG,5.6603,11195264.28,11217240.16,10769297.12,11665183.19,rotation
Jeremiah Fears,1642847,NOP,PG,4.1114,11025083.26,10993268.64,10545325.6,11553197.43,rotation
Moses Moody,1630541,GSW,PG,4.873,10912020.3,10881282.88,10433339.84,11441211.67,rotation
Jordan Goodwin,1630692,PHX,PG,5.1062,10869241.74,10770630.29,10433339.84,11329225.91,rotation
Moussa Diabaté,1631217,CHA,SF,4.778,10615276.71,10545325.6,10097382.57,11105254.4,rotation
Jake LaRavia,1631222,LAL,SF,4.2997,10584531.28,10545325.6,10097382.57,11105254.4,rotation
Aaron Gordon,203932,DEN,SF,5.8064,10532591.22,10456003.62,10097382.57,10993268.64,rotation
De'Anthony Melton,1629001,GSW,PG,6.1907,10472281.56,10433339.84,9985396.81,10993268.64,rotation
Oso Ighodaro,1642345,PHX,SF,3.7299,10351120.97,10321354.09,9873411.05,10769297.12,rotation
Alex Caruso,1627936,OKC,PG,4.5551,10220668.22,10209368.33,9761425.29,10574655.21,rotation
Zaccharie Risacher,1642258,ATL,SF,3.8307,10179913.41,10200036.18,9761425.29,10545325.6,rotation
Klay Thompson,202691,DAL,PG,3.8469,10142219.53,10097382.57,9649439.53,10545325.6,rotation
John Collins,1628381,LAC,PF,4.039,10118827.84,10097382.57,9649439.53,10495331.96,rotation
Duncan Robinson,1629130,DET,SF,3.4249,10072193.77,9998728.45,9649439.53,10433339.84,rotation
Kyle Filipowski,1642271,UTA,C,3.2405,9988492.42,9985396.81,9537453.78,10382679.62,rotation
Precious Achiuwa,1630173,SAC,SF,3.4644,9977693.79,9902740.66,9537453.78,10382679.62,rotation
Adem Bona,1641737,PHI,SF,3.3351,9952878.28,9985396.81,9537453.78,10382679.62,rotation
Kristaps Porziņģis,204001,GSW,PF,4.7185,9909702.44,9902740.66,9518789.48,10382679.62,rotation
Jordan Poole,1629673,NOP,PG,3.7669,9876746.63,9888075.86,9495459.12,10286691.83,rotation
Scotty Pippen Jr.,1630590,MEM,PG,5.6409,9863905.59,9873411.05,9425468.02,10286691.83,rotation
Ziaire Williams,1630533,BKN,SF,3.2477,9824534.6,9873411.05,9422801.69,10286691.83,rotation
Daniel Gafford,1629655,DAL,PF,3.1543,9785206.27,9806752.86,9326813.9,10286691.83,rotation
Isaiah Hartenstein,1628392,OKC,PF,3.2854,9766000.71,9806752.86,9326813.9,10286691.83,rotation
Egor Dëmin,1642856,BKN,PG,3.0562,9711468.98,9806752.86,9313482.26,10190704.03,rotation
Maxime Raynaud,1642875,SAC,C,2.385,9686570.81,9710765.07,9230826.1,10190704.03,rotation
John Konchar,1629723,UTA,PG,3.011,9665021.55,9710765.07,9230826.1,10190704.03,rotation
Zach Edey,1641744,MEM,C,4.4892,9536773.86,9614777.28,9038850.52,10094716.24,rotation
Grant Williams,1629684,CHA,SF,3.5691,9441799.27,9518789.48,8942862.72,9998728.45,rotation
Harrison Barnes,203084,SAS,SF,2.1,9407355.65,9422801.69,8892202.5,9926737.61,rotation
Danny Wolf,1642874,BKN,SF,2.4738,9400244.56,9422801.69,8846874.93,9998728.45,rotation
Isaiah Jackson,1630543,LAC,SF,3.0292,9316471.21,9326813.9,8750887.14,9902740.66,rotation
Jose Alvarado,1630631,NYK,PG,2.2563,9256769.47,9313482.26,8750887.14,9806752.86,rotation
Jusuf Nurkić,203994,UTA,C,2.7278,9184975.93,9201496.5,8654899.34,9806752.86,rotation
Bub Carrington,1642267,WAS,PG,1.8259,9136499.43,9134838.31,8572243.19,9710765.07,rotation
Patrick Williams,1630172,CHI,SF,2.0448,9080719.86,9038850.52,8558911.55,9614777.28,rotation
Jaden Ivey,1631093,CHI,PG,3.0456,9061042.36,9038850.52,8492253.36,9614777.28,rotation
Day'Ron Sharpe,1630549,BKN,C,2.0624,8995746.67,8942862.72,8462923.76,9518789.48,rotation
T.J. McConnell,204456,IND,PG,2.0779,8982292.38,8892202.5,8462923.76,9518789.48,rotation
